學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,1,國立政治大學,527,653,401,517,119,966,0,0,0
大專校院,2,國立清華大學,647,490,306,78,192,574,0,0,1
大專校院,3,國立臺灣大學,961,1517,498,819,284,919,0,0,1
大專校院,4,國立臺灣師範大學,569,725,182,127,103,4787,0,0,6
大專校院,0004A,國立臺灣師大僑生先修部,0,509,0,0,0,0,0,0,0
大專校院,5,國立成功大學,940,748,211,217,125,1261,0,0,0
大專校院,6,國立中興大學,403,400,49,82,142,123,0,0,0
大專校院,7,國立交通大學,628,391,203,193,210,678,0,0,0
大專校院,8,國立中央大學,589,206,113,127,0,239,0,0,0
大專校院,9,國立中山大學,328,216,82,151,132,699,0,0,0
大專校院,12,國立臺灣海洋大學,123,392,26,11,139,229,0,0,0
大專校院,13,國立中正大學,207,270,41,31,198,0,0,0,0
大專校院,14,國立高雄師範大學,37,108,44,18,82,192,0,0,14
大專校院,15,國立彰化師範大學,43,242,36,17,56,149,0,0,27
大專校院,16,國立陽明大學,139,136,19,1,164,0,0,0,0
大專校院,17,國立臺北大學,52,331,67,41,18,0,0,0,0
大專校院,18,國立嘉義大學,78,295,7,5,3,366,0,0,0
大專校院,19,國立高雄大學,60,123,11,34,79,78,0,0,0
大專校院,20,國立東華大學,388,395,35,28,33,100,0,0,0
大專校院,21,國立暨南國際大學,70,548,19,8,113,0,0,0,0
大專校院,22,國立臺灣科技大學,933,358,224,254,67,0,0,0,10
大專校院,23,國立雲林科技大學,119,247,155,19,0,163,0,0,0
大專校院,24,國立屏東科技大學,323,248,5,4,196,62,0,48,7
大專校院,25,國立臺北科技大學,452,373,220,106,89,202,0,0,0
大專校院,28,國立臺北藝術大學,86,108,58,29,0,0,0,0,0
大專校院,29,國立臺灣藝術大學,66,142,81,26,0,0,0,0,0
大專校院,30,國立臺東大學,12,44,7,0,1,158,0,0,0
大專校院,31,國立宜蘭大學,16,124,6,0,54,0,0,0,0
大專校院,32,國立聯合大學,5,55,14,4,68,103,0,0,0
大專校院,33,國立虎尾科技大學,113,36,18,0,72,0,0,0,0
大專校院,35,國立臺南藝術大學,16,27,14,1,0,0,0,0,0
大專校院,36,國立臺南大學,38,70,24,0,4,0,0,0,0
大專校院,37,國立臺北教育大學,66,143,12,17,48,648,0,0,0
大專校院,39,國立臺中教育大學,66,161,13,14,42,360,0,0,0
大專校院,42,國立澎湖科技大學,20,17,0,1,0,0,0,0,0
大專校院,43,國立勤益科技大學,293,48,15,43,144,340,0,0,0
